Score,Match_type,Match_addr,neighborhood,MetroArea,long,lat,county,state,id,facilityname,city,zip,fedfunded,rhc,rural
98.52,A,"30 E Apple St, Dayton, Ohio, 45409",South Park, ,-84.18712453,39.74641786,Montgomery County,OH,361053,FIVE RIVERS HEALTH CENTER,Dayton,45409,Yes,No,No
97.6,A,"133 W Main St, Greenville, Ohio, 45331", , ,-84.63450677,40.10168224,Darke County,OH,361112,FAMILY HEALTH SERVICES OF DARKE COUNTY INC,Greenville,45331,Yes,No,Yes
98.4,A,"1800 Livingston Ave, Lorain, Ohio, 44052", , ,-82.16792676,41.45369802,Lorain County,OH,361884,FAMILY LIVING CENTER OF LORAIN,Lorain,44052,No,No,No
97.8,A,"150 Glasgow Rd, Burkesville, Kentucky, 42717", , ,-85.36943156,36.7936326,Cumberland County,KY,181949,CUMBERLAND COUNTY ELEMENTARY HEALTHY KIDS CLINIC,Burkesville,42717,Yes,No,Yes
97.96,A,"1201 Euclid Ave, Cleveland, Ohio, 44115",Playhouse Square, ,-81.68438688,41.50062533,Cuyahoga County,OH,361018,FREE MEDICAL CLINIC OF GREATER CLEVELAND,Cleveland,44115,Yes,No,No
98.55,A,"2261 Philadelphia Dr, Dayton, Ohio, 45406",Fairview, ,-84.23501452,39.78786884,Montgomery County,OH,361007,FIVE RIVERS HEALTH CENTERS,Dayton,45406,Yes,No,No
97.59,A,"1154 Bypass N, Lawrenceburg, Kentucky, 40342", , ,-84.91423369,38.04585783,Anderson County,KY,181989,EZRA SPARROW EARLY CHILDHOOD CTR HLTHY KIDS CLINIC,Lawrenceburg,40342,Yes,No,Yes
98.14,A,"204 King Dr, Albany, Kentucky, 42602", , ,-85.13483129,36.71035296,Clinton County,KY,181947,EARLY CHILDHOOD CENTER HEALTHY KIDS CLINIC,Albany,42602,Yes,No,Yes
98.3,A,"2132 E 3rd St, Dayton, Ohio, 45403",Historic Inner East, ,-84.16341943,39.76410669,Montgomery County,OH,361943,EAST DAYTON HEALTH CENTER,Dayton,45403,Yes,No,No
97.88,A,"216 Trace Dr, Lancaster, Ohio, 43130", , ,-82.62450882,39.70721086,Fairfield County,OH,361967,FAIRFIELD COMMUNITY HEALTH CENTER HUNTER TRACE,Lancaster,43130,Yes,No,Yes
83.19,A,Newton Falls High School, , ,-80.96194,41.1772,Trumbull County,OH,361098,FALLS FAMILY CARE,Newton Falls,44444,Yes,No,No
97.96,A,"110 W Main St, Freeport, Ohio, 43973", , ,-81.26756831,40.21006329,Harrison County,OH,361828,FREEPORT FAMILY HEALTH CENTER,Freeport,43973,No,No,Yes
98.18,A,"105 Louden Ct, Elyria, Ohio, 44035", , ,-82.10032242,41.34477148,Lorain County,OH,361063,FAMILY CARE CENTER OF LORAIN,Elyria,44035,Yes,No,No
98.13,A,"227 Valley View Dr, Waverly, Ohio, 45690", , ,-83.00436094,39.11721876,Pike County,OH,361839,FAMILY HEALTH CENTER,Waverly,45690,Yes,No,Yes
97.65,A,"631 E State St, Georgetown, Ohio, 45121", , ,-83.89507586,38.86334422,Brown County,OH,361818,GEORGETOWN FAMILY HEALTH CENTER,Georgetown,45121,Yes,No,No
97.83,A,"210 S 2nd St, Hamilton, Ohio, 45011", ,Cincinnati Metro Area,-84.56258292,39.39833127,Butler County,OH,361910,ERNEST J BEVER COMMUNITY HEALTH CENTER,Hamilton,45011,Yes,No,No
98.18,A,"405 S Linden Ave, Alliance, Ohio, 44601", , ,-81.09999039,40.91806995,Stark County,OH,361888,GOOD SAMARITAN COMMUNITY HEALTH CENTER,Alliance,44601,No,No,Yes
98.11,A,"709 Fairdale Rd, Fairdale, Kentucky, 40118", , ,-85.75495442,38.107708,Jefferson County,KY,181816,FAMILY HEALTH CENTER FAIRDALE,Fairdale,40118,Yes,No,No
92.73,A,"1507 State Route 28, Loveland, Ohio, 45140", ,Cincinnati Metro Area,-84.19852812,39.21620086,Clermont County,OH,361814,GOSHEN FAMILY PRACTICE,Loveland,45140,Yes,No,No
98.46,A,"1 Trillium Way, Corbin, Kentucky, 40701", , ,-84.11401271,36.92196501,Whitley County,KY,181928,GRACE COMMUNITY WOMEN'S HEALTH,Corbin,40701,Yes,No,Yes
98.04,A,"245 N Grant Ave, Columbus, Ohio, 43215",Downtown Columbus, ,-82.99210842,39.96843721,Franklin County,OH,361129,FAITH MISSION CLINIC,Columbus,43215,Yes,No,No
98.37,A,"525 E Front St, Logan, Ohio, 43138", , ,-82.40101475,39.53766657,Hocking County,OH,361886,"FAMILY HEALTHCARE, INC-LOGAN",Logan,43138,No,No,Yes
97.69,A,"5735 Meeker Rd, Greenville, Ohio, 45331", , ,-84.6275156,40.08339,Darke County,OH,361840,FAMILY HEALTH,Greenville,45331,No,Yes,Yes
97.97,A,"2215 Portland Ave, Louisville, Kentucky, 40212",Portland, ,-85.78436064,38.26911277,Jefferson County,KY,181810,FAMILY HEALTH CENTER PORTLAND,Louisville,40212,Yes,No,No
98.1,A,"700 E Muhammad Ali Blvd, Louisville, Kentucky, 40202",Phoenix Hill, ,-85.74054628,38.2492696,Jefferson County,KY,181814,FAMILY HEALTH CENTER ST JOHNS,Louisville,40202,Yes,No,No
97.74,A,"101 Anderson St, New Madison, Ohio, 45346", , ,-84.70257104,39.97213405,Darke County,OH,361056,FAMILY HEALTH SERVICES INC,New Madison,45346,Yes,No,Yes
97.87,A,"1912 Hayes Ave, Sandusky, Ohio, 44870", , ,-82.71286172,41.43746799,Erie County,OH,361966,FAMILY HEALTH SERVICES OF ERIE COUNTY,Sandusky,44870,Yes,No,Yes
98.26,A,"315 1/2 W Union St, Athens, Ohio, 45701", , ,-82.11543907,39.32979571,Athens County,OH,361887,"FAMILY HEALTHCARE, INC-ATHENS",Athens,45701,No,No,Yes
98.37,A,"725 S Ludlow St, Dayton, Ohio, 45402",Midtown Dayton, ,-84.19137434,39.75083008,Montgomery County,OH,361004,FIVE RIVERS HEALTH CENTER,Dayton,45402,Yes,No,No
97.88,A,"200 Park Ave W, Mansfield, Ohio, 44902", , ,-82.52335041,40.7588975,Richland County,OH,361120,FIVE POINTS PRIMARY CARE,Mansfield,44902,Yes,No,No
98.3,A,"1 Wyoming St, Dayton, Ohio, 45409",University Park, ,-84.1874771,39.74376427,Montgomery County,OH,361005,FIVE RIVERS HEALTH CENTERS,Dayton,45409,Yes,No,No
89.3,A,"McArthur Ave, Mc Arthur, Ohio, 45651", , ,-82.48292325,39.2506785,Vinton County,OH,361824,HARTWELL MEDICAL CENTER,Mc Arthur,45651,Yes,No,Yes
97.92,A,"7607 Dixie Hwy, Florence, Kentucky, 41042", ,Cincinnati Metro Area,-84.62433213,38.9928303,Boone County,KY,181901,"HEALTHPOINT FAMILY CARE, INC",Florence,41042,Yes,No,No
97.58,A,"101 Orchard Dr, Nicholasville, Kentucky, 40356", , ,-84.5670395,37.89437659,Jessamine County,KY,181910,"HEALTHPOINT FAMILY CARE, INC",Nicholasville,40356,Yes,No,No
98.3,A,"30 E Apple St, Dayton, Ohio, 45409",South Park, ,-84.18712453,39.74641786,Montgomery County,OH,361006,FIVE RIVERS HEALTH CENTERS,Dayton,45409,Yes,No,No
98.57,A,"921 S Edwin C Moses Blvd, Dayton, Ohio, 45417",Carillon, ,-84.19552276,39.74435442,Montgomery County,OH,361076,FIVE RIVERS HEALTH CENTERS SAMARITAN HOMELESS CLIN,Dayton,45417,Yes,No,No
97.92,M,"102 Rhodes St, Gamaliel, Kentucky, 42140", , ,-85.79921323,36.64175636,MONROE COUNTY,KY,181935,GAMALIEL FAMILY MEDICAL,Gamaliel,42140,Yes,No,Yes
97.76,A,"1100 Pike St, Covington, Kentucky, 41011", ,Cincinnati Metro Area,-84.5234337,39.07537646,Kenton County,KY,181840,HEALTH POINT FAMILY CARE INC,Covington,41011,No,No,No
97.8,A,"104 Erin Ct, Hillsboro, Ohio, 45133", , ,-83.61126175,39.22330072,Highland County,OH,361890,HILLSBORO HEALTH CENTER,Hillsboro,45133,No,No,Yes
97.69,A,"107 E Main St, Earlington, Kentucky, 42410", , ,-87.51193696,37.27436895,Hopkins County,KY,181977,HEALTHFIRST COMMUNITY HEALTH CENTER,Earlington,42410,Yes,No,Yes
97.76,A,"313 S Cherry St, Pineville, Kentucky, 40977", , ,-83.69491915,36.75966548,Bell County,KY,181971,"GRACE COMMUNITY HEALTH CENTER, INC",Pineville,40977,Yes,No,Yes
97.69,A,"239 Richmond Rd, Manchester, Kentucky, 40962", , ,-83.76607936,37.15742596,Clay County,KY,181924,"GRACE COMMUNITY HEALTH CENTER, INC",Manchester,40962,Yes,No,Yes
98.22,A,"90 Hospital Dr, Athens, Ohio, 45701", , ,-82.11789441,39.32787906,Athens County,OH,361080,HOPEWELL HEALTH CENTERS INC,Athens,45701,Yes,No,Yes
98.67,A,"39 Cumberland Gap Plz, Gray, Kentucky, 40734", , ,-83.98201712,36.94924817,Knox County,KY,181872,"GRACE COMMUNITY HEALTH CENTER, INC",Gray,40734,Yes,No,Yes
98.14,A,"923 N Huron St, Toledo, Ohio, 43604",Northriver, ,-83.52804176,41.65868117,Lucas County,OH,361906,HURON STREET MEDICAL CLINIC,Toledo,43604,Yes,No,No
98.18,A,"43 E Main St, Amelia, Ohio, 45102", ,Cincinnati Metro Area,-84.21472447,39.0260043,Clermont County,OH,361104,GREATER CINCINNATI BEHAVIORAL HEALTH SERVICES,Amelia,45102,Yes,No,No
98,A,"225 N Irwin Rd, Holland, Ohio, 43528", , ,-83.77922675,41.63895764,Lucas County,OH,361086,HOLLAND HEALTH CARE,Holland,43528,Yes,No,No
97.92,A,"8300 Hough Ave, Cleveland, Ohio, 44103",Hough, ,-81.62998183,41.50933149,Cuyahoga County,OH,361801,HOUGH CENTER,Cleveland,44103,Yes,No,No
93.91,A,"21154 Highway 421, Hyden, Kentucky, 41749", , ,-83.37202921,37.15301847,Leslie County,KY,181011,"HYDEN, INC",Hyden,41749,Yes,No,Yes
97.96,A,"496 Southland Dr, Lexington, Kentucky, 40503",Picadome, ,-84.52851588,38.02077785,Fayette County,KY,181967,"HEALTHFIRST BLUEGRASS, INC",Lexington,40503,Yes,No,No
98.23,A,"1401 Harrodsburg Rd, Lexington, Kentucky, 40504",Picadome, ,-84.5251069,38.0328529,Fayette County,KY,181965,"HEALTHPOINT FAMILY CARE, INC",Lexington,40504,Yes,No,No
97.97,A,"8074 Beechmont Ave, Cincinnati, Ohio, 45255",Cherry Grove,Cincinnati Metro Area,-84.331323,39.07306948,Hamilton County,OH,361039,HEALTHSOURCE ANDERSON OB/GYN,Cincinnati,45255,Yes,No,No
98.26,A,"30 Stacy Lane Rd, Irvine, Kentucky, 40336", , ,-84.00050302,37.7031018,Estill County,KY,181874,HEALTH HELP INCORPORATED,Irvine,40336,Yes,No,Yes
98.46,A,"1550 N Main St, Lima, Ohio, 45801", , ,-84.10500674,40.76262917,Allen County,OH,361042,HEALTH PARTNERS OF WESTERN OHIO QUICK CARE,Lima,45801,Yes,No,No
98.08,A,"103 Landmark Dr, Bellevue, Kentucky, 41073", ,Cincinnati Metro Area,-84.4846374,39.10036915,Campbell County,KY,181813,HEALTH POINT FAMILY CARE INC,Bellevue,41073,Yes,No,No
97.68,A,"194 N Main St, Mount Olivet, Kentucky, 41064", , ,-84.03486995,38.53405672,Robertson County,KY,181846,HEALTH POINT FAMILY CARE/MT OLIVET,Mount Olivet,41064,Yes,No,Yes
97.92,A,"360 W Loudon Ave, Lexington, Kentucky, 40508", , ,-84.49490737,38.06256976,Fayette County,KY,181969,"HEALTHFIRST BLUE GRASS, INC",Lexington,40508,Yes,No,No
98.04,A,"1736 Alexandria Dr, Lexington, Kentucky, 40504", , ,-84.55223077,38.03969667,Fayette County,KY,181933,"HEALTHFIRST BLUE GRASS, INC,",Lexington,40504,Yes,No,No
98.09,A,"120 Progress Way, Owenton, Kentucky, 40359", , ,-84.84376054,38.55103246,Owen County,KY,181938,HEALTHPOINT FAMILY CARE INC,Owenton,40359,Yes,No,Yes
97.78,A,"781 W Locust St, Wilmington, Ohio, 45177", , ,-83.84229086,39.44729448,Clinton County,OH,361985,HEALTHSOURCE  WILMINGTON,Wilmington,45177,Yes,No,Yes
89.57,A,"Plummer St, Campton, Kentucky, 41301", , ,-83.54868755,37.73514537,Wolfe County,KY,181919,JHI WOLFE COUNTY FAMILY MEDICAL CLINIC,Campton,41301,Yes,No,Yes
98.11,A,"1905 Parsons Ave, Columbus, Ohio, 43207",Reeb-Hosack, ,-82.98453481,39.92399458,Franklin County,OH,361031,JOHN R MALONEY SOUTHSIDE HEALTH & WELLNESS CENTER,Columbus,43207,Yes,No,No
98.14,A,"111 W Espy St, Kenton, Ohio, 43326", , ,-83.60873946,40.64129716,Hardin County,OH,361045,KENTON COMMUNITY HEALTH CENTER,Kenton,43326,Yes,No,Yes
97.96,A,"75 E Court St, Bardwell, Kentucky, 42023", , ,-89.00573586,36.86884376,Carlisle County,KY,181885,KENTUCKY CARE 21,Bardwell,42023,Yes,No,Yes
98.21,A,"18500 Jacksonville Rd, Glouster, Ohio, 45732", , ,-82.08000034,39.47004646,Athens County,OH,361059,HOPEWELL HEALTH CENTERS INC,Glouster,45732,Yes,No,Yes
98.2,A,"41865 Pomeroy Pike, Pomeroy, Ohio, 45769", , ,-81.99820495,39.05905776,Meigs County,OH,361921,"HOPEWELL HEALTH CENTERS, INC",Pomeroy,45769,Yes,No,Yes
98.18,A,"2500 Sullivant Ave, Columbus, Ohio, 43204",Central Hilltop, ,-83.06556527,39.94505317,Franklin County,OH,361871,HILLTOP HEALTH CENTER,Columbus,43204,No,No,No
97.35,A,"125 Main St, Beattyville, Kentucky, 41311", , ,-83.70852499,37.57231612,Lee County,KY,181848,LEE COUNTY FAMILY MEDICAL CLINIC,Beattyville,41311,Yes,No,Yes
93.08,A,"8461 State Route 144, Stewart, Ohio, 45778", , ,-81.88015147,39.31370451,Athens County,OH,361133,HOPEWELL HEALTH CENTERS INC,Stewart,45778,Yes,No,Yes
97.84,A,"1417 N Main St, Jamestown, Kentucky, 42629", , ,-85.07338274,37.00207938,Russell County,KY,181904,JAMESTOWN FAMILY MEDICAL CENTER,Jamestown,42629,Yes,No,Yes
97.78,A,"1171 Adams St, Cincinnati, Ohio, 45215", ,Cincinnati Metro Area,-84.45517031,39.24443213,Hamilton County,OH,361805,LINCOLN PARK MEDICAL CENTER,Cincinnati,45215,Yes,No,No
97.67,A,"409 Lincoln Park Dr, New Lexington, Ohio, 43764", , ,-82.20095217,39.72109957,Perry County,OH,361825,LINCOLN PARK MEDICAL CENTER,New Lexington,43764,Yes,No,Yes
98.33,A,"1977 Niles Rd SE, Warren, Ohio, 44484", , ,-80.79680071,41.22157549,Trumbull County,OH,361970,LLOYD MCCOY COMMUNITY HEALTH CENTER,Warren,44484,Yes,No,No
97.92,A,"105 Isom Plz, Jeremiah, Kentucky, 41826", , ,-82.90763847,37.18396846,Letcher County,KY,181986,ISOM MEDICAL CLINIC,Jeremiah,41826,No,No,Yes
98.18,A,"412 E River St, Elyria, Ohio, 44035", , ,-82.09697553,41.36948809,Lorain County,OH,361022,LORAIN COUNTY HEALTH & DENTISTRY,Elyria,44035,Yes,No,No
97.8,A,"342 S Main St, Jamestown, Kentucky, 42629", , ,-85.05937387,36.98025828,Russell County,KY,181958,JAMESTOWN ELEMENTARY HEALTHY KIDS CLINIC,Jamestown,42629,Yes,No,Yes
83.26,A,Prestonsburg School, , ,-82.77962,37.67776,Floyd County,KY,181805,MAGOFFIN CLINIC,Prestonsburg,41653,Yes,No,Yes
97.88,A,"820 Amherst Rd NE, Massillon, Ohio, 44646", , ,-81.51873624,40.80486288,Stark County,OH,361102,LIFECARE FAMILY HEALTH AND DENTAL CENTER INC,Massillon,44646,Yes,No,No
98.2,A,"223 Carlton Davidson Ln, Ironton, Ohio, 45638", , ,-82.64737081,38.50178087,Lawrence County,OH,361852,KEMP FAMILY MEDICAL CENTER,Coal Grove,45638,No,Yes,No
98.13,A,"125 S 20th St, Paducah, Kentucky, 42001", , ,-88.62036832,37.0768322,McCracken County,KY,181908,KENTUCKY CARE 43,Paducah,42001,Yes,No,Yes
100,PP, , , ,-82.58119773,37.91319371,MARTIN COUNTY,KY,181881,MARTIN COUNTY COMMUNITY HEALTH CENTER,Inez,41224,Yes,No,Yes
97.9,A,"11660 Upper Gilchrist Rd, Mount Vernon, Ohio, 43050", , ,-82.43705708,40.40404963,Knox County,OH,361130,KNOX COUNTY COMMUNITY HEALTH CENTER,Mount Vernon,43050,Yes,No,Yes
98,A,"1560 S High St, Columbus, Ohio, 43207",Merion Village, ,-82.99576628,39.93018387,Franklin County,OH,361054,LOWER LIGHTS CHRISTIAN HEALTH CENTER INC,Columbus,43207,Yes,No,No
85.35,A,"3 Vanceburg Boat Ramp, Vanceburg, Kentucky, 41179", , ,-83.32336504,38.60400449,Lewis County,KY,181845,LEWIS COUNTY PRIMARY CARE CENTER INC,Vanceburg,41179,Yes,No,Yes
88,A,"40940, Kentucky", , ,-83.952455,36.68165,Whitley County,KY,181826,LAUREL FORK CLINIC,Frakes,40940,No,No,Yes
98.43,A,"132 Village Center Rd, Harlan, Kentucky, 40831", , ,-83.31600527,36.81613554,Harlan County,KY,181841,MOUNTAIN COMPREHENSIVE HEALTH CORPORATION HMC,Harlan,40831,No,No,Yes
97.68,A,"4279 N State Route 376 NW, Mcconnelsville, Ohio, 43756", , ,-81.85901487,39.66270649,Morgan County,OH,361923,MUSKINGUM VALLEY HEALTH CENTERS,Mcconnelsville,43756,Yes,No,Yes
0,M, , , ,-81.8179189,41.4379125,Cuyahoga County,OH,361043,NEIGHBORHOOD FAMILY PRACTICE,Cleveland,44135,Yes,No,No
98.27,A,"185 Circle Dr, Whitesburg, Kentucky, 41858", , ,-82.8067461,37.11492955,Letcher County,KY,181892,LETCHER COUNTY ALTERNATIVE EDUCATION SBC,Crown,41858,Yes,No,Yes
98.04,A,"741 Scholl Rd, Mansfield, Ohio, 44907", , ,-82.52746757,40.73674167,Richland County,OH,361001,MANSFIELD FAMILY HEALTH,Mansfield,44907,Yes,No,No
97.72,A,"6000 Cooper Rd, Westerville, Ohio, 43081",Northern Woods, ,-82.93539377,40.09262099,Franklin County,OH,361094,LOWER LIGHTS CHRISTIAN HEALTH CENTER INC,Westerville,43081,Yes,No,No
98,A,"75 College St, Liberty, Kentucky, 42539", , ,-84.93453612,37.31655942,Casey County,KY,181979,LIBERTY ELEMENTARY HEALTHY KIDS CLINIC,Liberty,42539,Yes,No,Yes
98.13,A,"554 N Leavitt Rd, Amherst, Ohio, 44001", , ,-82.21156679,41.41272782,Lorain County,OH,361126,LORAIN COUNTY HEALTH & DENTISTRY,Amherst,44001,Yes,No,No
84.25,A,"Whitesburg Plz, Whitesburg, Kentucky, 41858", , ,-82.79538396,37.11642682,Letcher County,KY,181894,MARTHA JANE POTTER ELEMENTARY SBC,Whitesburg,41858,Yes,No,Yes
98.22,A,"421 Memorial Dr, Hazard, Kentucky, 41701", , ,-83.19357605,37.25089071,Perry County,KY,181843,LITTLE FLOWER CLINIC,Hazard,41701,Yes,No,Yes
97.96,A,"171 E 5th Ave, Columbus, Ohio, 43201",Italian Village, ,-83.00066437,39.98690451,Franklin County,OH,361093,LOWER LIGHTS CHRISTIAN HEALTH CENTER INC,Columbus,43201,No,No,No
98.33,A,"3015 Mahoning Rd NE, Canton, Ohio, 44705", , ,-81.33252194,40.8161311,Stark County,OH,361035,MAHONING ROAD FAMILY HEALTH CENTER,Canton,44705,Yes,No,No
97.88,A,"1465 E 55th St, Cleveland, Ohio, 44103",St. Clair-Superior, ,-81.65189683,41.51943034,Cuyahoga County,OH,361833,NORWOOD CENTER,Cleveland,44103,Yes,No,No
97.55,A,"160 Cave St, Monticello, Kentucky, 42633", , ,-84.85272569,36.82963373,Wayne County,KY,181953,MONTICELLO ELEMENTARY HEALTHY KIDS CLINIC,Monticello,42633,Yes,No,Yes
97.96,A,"991 Medical Park Dr, Maysville, Kentucky, 41056", , ,-83.80811652,38.64091424,Mason County,KY,181849,MAYSVILLE OB/GYN FAMILY HEALTH CENTER,Maysville,41056,Yes,No,Yes
61.11,M,"69 S Main St, Owenton, Kentucky, 40359", , ,-84.47103,36.72425,OWEN COUNTY,KY,181882,MCCREARY FAMILY MEDICAL CENTER,Whitley City,42653,Yes,No,Yes
0,M, , , ,-83.9193072,39.0260068,Brown County,OH,361809,MT ORAB FAMILY HEALTH CENTER,Mount Orab,45154,Yes,No,No
97.87,A,"526 Indian Dr, Columbia, Kentucky, 42728", , ,-85.33093759,37.10848006,Adair County,KY,181984,ADAIR COUNTY HIGH HEALTHY KIDS CLINIC,Columbia,42728,Yes,No,Yes
98.36,A,"937 Campbellsville Rd, Columbia, Kentucky, 42728", , ,-85.30050044,37.11384953,Adair County,KY,181861,ADAIR FAMILY MEDICINE CENTER INC,Columbia,42728,Yes,No,Yes
98,A,"5209 Detroit Ave, Cleveland, Ohio, 44102",Detroit-Shoreway, ,-81.72339339,41.48581902,Cuyahoga County,OH,361082,NEIGHBORHOOD FAMILY PRACTICE,Cleveland,44102,Yes,No,No
98.07,A,"6412 Franklin Blvd, Cleveland, Ohio, 44102",Detroit-Shoreway, ,-81.72990779,41.48198992,Cuyahoga County,OH,361987,NEIGHBORHOOD FAMILY PRACTICE,Cleveland,44102,Yes,No,No
97.89,A,"5051 Anderson Pl, Cincinnati, Ohio, 45227",Madisonville,Cincinnati Metro Area,-84.39892914,39.16294382,Hamilton County,OH,361023,NEIGHBORHOOD HEALTH CARE INC,Cincinnati,45227,Yes,No,No
97.93,A,"1616 Harrison Ave, Cincinnati, Ohio, 45214",South Fairmount,Cincinnati Metro Area,-84.54928177,39.12656112,Hamilton County,OH,361916,"NEIGHBORHOOD HEALTH CARE, INC",Cincinnati,45214,Yes,No,No
98.03,A,"3129 Spring Grove Ave, Cincinnati, Ohio, 45225",Camp Washington,Cincinnati Metro Area,-84.54179641,39.13860586,Hamilton County,OH,361917,"NEIGHBORHOOD HEALTH CARE, INC",Cincinnati,45225,Yes,No,No
100,PP, , , ,-82.6566735,37.4627384,FLOYD COUNTY,KY,181819,MUD CREEK CLINIC BIG SANDY HEALTH CARE,Grethel,41631,Yes,No,Yes
97.88,A,"406 S 15th St, Coshocton, Ohio, 43812", , ,-81.8471565,40.27127316,Coshocton County,OH,361047,MUSKINGUM VALLEY HEALTH CENTER,Coshocton,43812,Yes,No,Yes
94.78,A,"1993 State Route 59, Kent, Ohio, 44240", , ,-81.32197544,41.15562243,Portage County,OH,361939,PORTAGE COUNTY COMMUNITY HEALTH CENTER,Kent,44240,Yes,No,No
84.19,A,"Whitman Rd, Munfordville, Kentucky, 42765", , ,-85.87990832,37.26820876,Hart County,KY,181920,MUNFORDVILLE FAMILY MEDICAL,Munfordville,42765,Yes,No,Yes
98.13,A,"456 S Main St, Andover, Ohio, 44003", , ,-80.57130674,41.60086264,Ashtabula County,OH,361914,ANDOVER PRIMARY CARE,Andover,44003,Yes,No,Yes
97.78,A,"2845 Bell St, Zanesville, Ohio, 43701", , ,-82.01294819,39.97276265,Muskingum County,OH,361077,MUSKINGUM VALLEY HEALTH CENTERS,Zanesville,43701,Yes,No,Yes
97.97,A,"5945 Montgomery Rd, Cincinnati, Ohio, 45213",Pleasant Ridge,Cincinnati Metro Area,-84.43220316,39.1806991,Hamilton County,OH,361020,NEIGHBORHOOD HEALTH CARE INC,Cincinnati,45213,Yes,No,No
97.78,A,"1515 Carll St, Cincinnati, Ohio, 45225",North Fairmount,Cincinnati Metro Area,-84.54620078,39.13442967,Hamilton County,OH,361915,"NEIGHBORHOOD HEALTH CARE, INC",Cincinnati,45225,Yes,No,No
90.4,A,"Airport Rd, Woodsfield, Ohio, 43793", , ,-81.13021309,39.765215,Monroe County,OH,361829,MONROE COUNTY CLINIC,Woodsfield,43793,No,Yes,Yes
98.07,A,"2358 Professor Ave, Cleveland, Ohio, 44113",Tremont, ,-81.68537455,41.48019701,Cuyahoga County,OH,361946,NEIGHBORHOOD FAMILY PRACTICE,Cleveland,44113,Yes,No,No
97.5,A,"106 N Main St, New Carlisle, Ohio, 45344", , ,-84.02492641,39.93752568,Clark County,OH,361927,NEW CARLISLE COMMUNITY HEALTH CENTR,New Carlisle,45344,Yes,No,No
97.55,A,"235 W High St, Mount Gilead, Ohio, 43338", , ,-82.83684108,40.5493565,Morrow County,OH,361092,MORROW FAMILY HEALTH CENTER,Mount Gilead,43338,Yes,No,Yes
97.82,A,"716 Adair Ave, Zanesville, Ohio, 43701", , ,-82.01228225,39.9531845,Muskingum County,OH,361926,MUSKINGUM VALLEY HEALTH CENTERS,Zanesville,43701,Yes,No,Yes
97.92,A,"250 N Fair Ave, Hamilton, Ohio, 45011", ,Cincinnati Metro Area,-84.54178067,39.39614175,Butler County,OH,361101,PRIMARY HEALTH SOLUTIONS,Hamilton,45011,Yes,No,No
98.63,A,"340 S Broadway St, Akron, Ohio, 44308",Downtown Akron, ,-81.51958838,41.07578459,Summit County,OH,361062,AXESSPOINTE PORTAGE PATH,Akron,44308,Yes,No,No
98.26,A,"1020 Varland Ave, Toledo, Ohio, 43605",East Toledo, ,-83.51348366,41.63122048,Lucas County,OH,361061,NAVARRE PARK FAMILY CARE CENTER,Toledo,43605,Yes,No,No
97.74,A,"119 W Main St, Quaker City, Ohio, 43773", , ,-81.30005666,39.9711551,Guernsey County,OH,361033,QUAKER CITY FAMILY HEALTH CENTER,Quaker City,43773,Yes,No,Yes
97.86,A,"4531 Reading Rd, Cincinnati, Ohio, 45229",Paddock Hills, ,-84.4704544,39.16716721,Hamilton County,OH,361862,BOND HILL FAMILY PRACTICE*CLOSED*,Cincinnati,45229,No,No,No
98.03,A,"3917 Spring Grove Ave, Cincinnati, Ohio, 45223",Northside,Cincinnati Metro Area,-84.54044367,39.15726344,Hamilton County,OH,361956,NORTHSIDE HEALTH CENTER,Cincinnati,45223,Yes,No,No
81.43,A,"Bowling Green Est, Bowling Green, Ohio, 43402", , ,-83.65446571,41.38822772,Wood County,OH,361842,BOWLING GREEN MIGRANT CLINIC,Bowling Green,43402,Yes,No,Yes
97.7,A,"1411 Fox Creek Rd, Lawrenceburg, Kentucky, 40342", , ,-84.92420388,38.01558854,Anderson County,KY,181000,ROBERT B TURNER ELEMENTARY HEALTHY KIDS CLINIC,Lawrenceburg,40342,Yes,No,Yes
87.08,M,"11 Booneville Hts Rd, Booneville, Kentucky, 41314", , ,-83.6632879,37.4725268,OWSLEY COUNTY,KY,181832,OWSLEY COUNTY MEDICAL CLINIC,Booneville,41314,Yes,No,Yes
97.5,A,"236 W 6th St, East Liverpool, Ohio, 43920", , ,-80.58240092,40.62111832,Columbiana County,OH,361106,CAA HEALTH & BEHAVIORAL HEALTH AT EAST,East Liverpool,43920,Yes,No,Yes
98.37,A,"1950 Tuscarawas St E, Canton, Ohio, 44707", , ,-81.35215642,40.79384095,Stark County,OH,361913,CANTON COMMUNITY CLINIC,Canton,44707,Yes,No,No
98.09,M,"1841 E Ky 70, Liberty, Kentucky, 42539", , ,-84.9282422,37.31842857,CASEY COUNTY,KY,181943,CASEY COUNTY HIGH HEALTHY KIDS CLINIC,Liberty,42539,Yes,No,Yes
98,A,"1180 E Main St, Columbus, Ohio, 43205",Olde Town East, ,-82.96782266,39.9578375,Franklin County,OH,361868,PRIMARYONE HEALTH,Columbus,43205,No,No,No
91.38,A,"10777 County Road 107, Proctorville, Ohio, 45669", , ,-82.32208376,38.46339772,Lawrence County,OH,361012,PROCTORVILLE HEALTH CARE CENTER,Proctorville,45669,Yes,No,No
97.74,A,"234 Amy Ave, Louisville, Kentucky, 40212",Shawnee, ,-85.81329813,38.26034202,Jefferson County,KY,181922,SHAWNEE CHRISTIAN HEALTH  CENTER INC,Louisville,40212,No,No,No
